CUSTOMERID,CUSTOMERNAME,CUSTOMEREMAIL,CUSTOMERSIGNUPDATE,CUSTOMERCITY,CUSTOMERSTATE,CUSTOMERORDERCOUNT,TOTALITEMSPURCHASED,AVERAGESPENT
1001,Nollie Stone,nollie.stone@alice.it,2024-04-15 10:41:00,Baltimore,Maryland,7.0,28.0,671.1028571428571
1002,Ignacius Mainwaring,ignacius.mainwaring@aol.com,2023-06-03 04:55:00,Pittsburgh,Pennsylvania,3.0,22.0,667.28
1003,Fred Hobbert,fred.hobbert@hotmail.co.uk,2021-11-05 03:49:00,Houston,Texas,5.0,16.0,197.972
1004,Pavlov Demcik,pavlov.demcik@gmail.com,2021-02-17 22:23:00,Norfolk,Virginia,6.0,33.0,378.25833333333327
1005,Roslyn Asch,roslyn.asch@rediffmail.com,2022-04-25 18:34:00,El Paso,Texas,3.0,20.0,293.2666666666667
1006,Justus Morson,justus.morson@hotmail.fr,2022-08-22 05:55:00,Rochester,New York,4.0,8.0,85.4825
1007,Forester Quiney,forester.quiney@aol.com,2022-05-28 00:49:00,Worcester,Massachusetts,6.0,31.0,241.615
1008,Abagael Rosevear,abagael.rosevear@gmail.com,2019-05-23 10:13:00,Omaha,Nebraska,5.0,30.0,339.558
1009,Marten Kornilyev,marten.kornilyev@yahoo.com,2019-07-11 19:19:00,White Plains,New York,4.0,22.0,379.94500000000005
1010,Emera Whelband,emera.whelband@msn.com,2019-07-08 00:58:00,Laredo,Texas,7.0,39.0,316.3757142857143
1011,Julissa Mapowder,julissa.mapowder@orange.fr,2017-05-27 22:23:00,Des Moines,Iowa,7.0,38.0,527.2442857142858
1012,Spenser Clementucci,spenser.clementucci@yandex.ru,2023-06-13 16:42:00,Waco,Texas,6.0,35.0,189.9416666666667
1013,Dunn Petracci,dunn.petracci@hotmail.com,2024-02-10 10:18:00,Chicago,Illinois,7.0,48.0,404.21714285714285
1014,Crysta Howson,crysta.howson@hotmail.fr,2020-08-09 16:32:00,Baton Rouge,Louisiana,3.0,12.0,185.96
1015,Junina Downing,junina.downing@gmail.com,2021-09-15 05:20:00,Oklahoma City,Oklahoma,2.0,10.0,152.45
1016,Rubia Tommeo,rubia.tommeo@hotmail.com,2022-06-14 01:36:00,Honolulu,Hawaii,4.0,21.0,161.1975
1017,Urbano Oldacres,urbano.oldacres@yahoo.co.uk,2022-04-05 14:01:00,Philadelphia,Pennsylvania,5.0,18.0,274.964
1018,Brandon Kilbride,brandon.kilbride@gmail.com,2022-12-19 13:45:00,Tulsa,Oklahoma,5.0,29.0,266.96
1019,Arliene Draisey,arliene.draisey@gmail.com,2022-08-12 11:35:00,Birmingham,Alabama,5.0,18.0,169.564
1020,Garvey Kerrigan,garvey.kerrigan@alice.it,2022-01-17 03:10:00,Indianapolis,Indiana,6.0,28.0,160.28666666666666
