SellerID,SellerName,SellerEmail,SellerSignupDate,SellerCity,SellerState
2000,Normie Vaggs,normie.vaggs@msn.com,1/12/2018 10:48,Columbus,Ohio
2001,Marielle Linskill,marielle.linskill@yahoo.com,7/10/2017 6:47,Cleveland,Ohio
2002,Kalinda Takos,kalinda.takos@gmail.com,23/11/2020 1:04,Newport News,Virginia
2003,Lind Maron,lind.maron@yahoo.fr,27/8/2019 8:37,Philadelphia,Pennsylvania
2004,Riley Lindwall,riley.lindwall@aol.com,4/8/2021 10:08,Lawrenceville,Georgia
2005,Adrianne Pendlington,adrianne.pendlington@gmail.com,3/8/2020 3:25,Washington,District of Columbia
2006,Paulina Powers,paulina.powers@gmail.com,18/3/2021 13:19,Rochester,New York
2007,Peadar Kelinge,peadar.kelinge@gmail.com,5/12/2023 20:42,Charlotte,North Carolina
2008,Natalina Petruska,natalina.petruska@gmail.com,1/4/2021 23:14,Topeka,Kansas
2009,Wilden Sowle,wilden.sowle@alice.it,20/1/2016 16:16,Brooklyn,New York
